metrics,Dev,PMO,eTrading,RISK,Max,Min,Dev01,Dev02,Dev03,Dev04,Dev05,Dev06,Dev07,Dev08,Dev09,Dev10,PMO01,PMO02,PMO03,PMO04,PMO05,PMO06,PMO07,PMO08,PMO09,PMO10,ET01,ET02,ET03,ET04,ET05,ET06,ET07,ET08,ET09,ET10,RISK01,RISK02,RISK03,RISK04,RISK05,RISK06,RISK07,RISK08,RISK09,RISK10
Code Quality,0.870,0.0,0.0,0.0,0.950,0.150,0.150,0.239,0.328,0.417,0.506,0.594,0.683,0.772,0.861,0.950,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
Velocity,0.640,0.0,0.0,0.0,0.950,0.150,0.150,0.239,0.328,0.417,0.506,0.594,0.683,0.772,0.861,0.950,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
Architecture,0.910,0.0,0.0,0.0,0.950,0.150,0.150,0.239,0.328,0.417,0.506,0.594,0.683,0.772,0.861,0.950,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
Testing Coverage,0.780,0.0,0.0,0.0,0.950,0.150,0.150,0.239,0.328,0.417,0.506,0.594,0.683,0.772,0.861,0.950,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
Incident Response,0.550,0.0,0.0,0.0,0.950,0.150,0.150,0.239,0.328,0.417,0.506,0.594,0.683,0.772,0.861,0.950,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
Collaboration,0.690,0.0,0.0,0.0,0.950,0.150,0.150,0.239,0.328,0.417,0.506,0.594,0.683,0.772,0.861,0.950,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
Delivery Predictability,0.820,0.0,0.0,0.0,0.950,0.150,0.150,0.239,0.328,0.417,0.506,0.594,0.683,0.772,0.861,0.950,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
Planning Accuracy,0.0,0.880,0.0,0.0,0.950,0.150,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.150,0.239,0.328,0.417,0.506,0.594,0.683,0.772,0.861,0.950,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
Stakeholder Management,0.0,0.730,0.0,0.0,0.950,0.150,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.150,0.239,0.328,0.417,0.506,0.594,0.683,0.772,0.861,0.950,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
Risk Tracking,0.0,0.670,0.0,0.0,0.950,0.150,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.150,0.239,0.328,0.417,0.506,0.594,0.683,0.772,0.861,0.950,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
Delivery Coordination,0.0,0.790,0.0,0.0,0.950,0.150,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.150,0.239,0.328,0.417,0.506,0.594,0.683,0.772,0.861,0.950,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
Communication,0.0,0.620,0.0,0.0,0.950,0.150,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.150,0.239,0.328,0.417,0.506,0.594,0.683,0.772,0.861,0.950,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
Dependency Management,0.0,0.840,0.0,0.0,0.950,0.150,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.150,0.239,0.328,0.417,0.506,0.594,0.683,0.772,0.861,0.950,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
Budget Adherence,0.0,0.710,0.0,0.0,0.950,0.150,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.150,0.239,0.328,0.417,0.506,0.594,0.683,0.772,0.861,0.950,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
Strategy Performance,0.0,0.0,0.930,0.0,0.950,0.150,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.150,0.239,0.328,0.417,0.506,0.594,0.683,0.772,0.861,0.950,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
Latency Optimization,0.0,0.0,0.850,0.0,0.950,0.150,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.150,0.239,0.328,0.417,0.506,0.594,0.683,0.772,0.861,0.950,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
Market Coverage,0.0,0.0,0.740,0.0,0.950,0.150,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.150,0.239,0.328,0.417,0.506,0.594,0.683,0.772,0.861,0.950,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
Risk Controls,0.0,0.0,0.680,0.0,0.950,0.150,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.150,0.239,0.328,0.417,0.506,0.594,0.683,0.772,0.861,0.950,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
Uptime,0.0,0.0,0.800,0.0,0.950,0.150,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.150,0.239,0.328,0.417,0.506,0.594,0.683,0.772,0.861,0.950,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
Release Cadence,0.0,0.0,0.770,0.0,0.950,0.150,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.150,0.239,0.328,0.417,0.506,0.594,0.683,0.772,0.861,0.950,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
Innovation,0.0,0.0,0.660,0.0,0.950,0.150,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.150,0.239,0.328,0.417,0.506,0.594,0.683,0.772,0.861,0.950,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
Loss Avoidance,0.0,0.0,0.0,0.900,0.950,0.150,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.150,0.239,0.328,0.417,0.506,0.594,0.683,0.772,0.861,0.950
Model Validation,0.0,0.0,0.0,0.760,0.950,0.150,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.150,0.239,0.328,0.417,0.506,0.594,0.683,0.772,0.861,0.950
Policy Compliance,0.0,0.0,0.0,0.830,0.950,0.150,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.150,0.239,0.328,0.417,0.506,0.594,0.683,0.772,0.861,0.950
Stress Testing,0.0,0.0,0.0,0.720,0.950,0.150,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.150,0.239,0.328,0.417,0.506,0.594,0.683,0.772,0.861,0.950
Scenario Analysis,0.0,0.0,0.0,0.880,0.950,0.150,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.150,0.239,0.328,0.417,0.506,0.594,0.683,0.772,0.861,0.950
Audit Readiness,0.0,0.0,0.0,0.690,0.950,0.150,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.150,0.239,0.328,0.417,0.506,0.594,0.683,0.772,0.861,0.950
Issue Remediation,0.0,0.0,0.0,0.810,0.950,0.150,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.150,0.239,0.328,0.417,0.506,0.594,0.683,0.772,0.861,0.950

